director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Thriller,insidious: the last key,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel Horror Thriller
Christopher Radcliff (director/screenplay); Lauren Wolkstein,Lauren Wolkstein (director); Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Drama Mystery,the strange ones,Lauren Wolkstein (director); Alex Pettyfer James Freedson-Jackson Emily Althaus Christopher Radcliff (director/screenplay); Lauren Wolkstein Drama Mystery
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller Mystery,the commuter,Liam Neeson Vera Farmiga Patrick Wilson Jaume Collet-Serra Action Thriller Mystery
Babak Najafi,Taraji P. Henson,Jahi Di'Allo Winston,Billy Brown,Thriller Action Crime,proud mary,Taraji P. Henson Jahi Di'Allo Winston Billy Brown Babak Najafi Thriller Action Crime
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action Crime Thriller,acts of violence,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho Action Crime Thriller
Trudie Styler,Alex Lawther,Abigail Breslin,AnnaSophia Robb,Comedy Drama,freak show,Alex Lawther Abigail Breslin AnnaSophia Robb Trudie Styler Comedy Drama
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman Comedy
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong,Chris Hemsworth Michael Shannon Michael Peña Nicolai Fuglsig War Drama Action History
Christian Gudegast,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,Crime Thriller Action,den of thieves,Gerard Butler Pablo Schreiber O'Shea Jackson Jr. Christian Gudegast Crime Thriller Action
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama,forever my girl,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf Romance Drama
Jesse Keller,Carr Cavender,Molly Beucher,Connor Sullivan,Drama Thriller,thane of east county,Carr Cavender Molly Beucher Connor Sullivan Jesse Keller Drama Thriller
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action Adventure Thriller,maze runner: the death cure,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball Science Fiction Action Adventure Thriller
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,Dakota Fanning Toni Collette Alice Eve Ben Lewin Comedy Drama
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Horror Thriller,winchester,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers Horror Thriller
Sebastián Lelio,Daniela Vega,Francisco Reyes Morandé,unknown,Drama,a fantastic woman,Daniela Vega Francisco Reyes Morandé unknown Sebastián Lelio Drama
Mario Van Peebles,Mario Van Peebles,Ryan Guzman,Columbus Short,Action Comedy Crime,armed,Mario Van Peebles Ryan Guzman Columbus Short Mario Van Peebles Action Comedy Crime
